time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"","","",
1,2,"1","","P1:0/3d4|P2:1/3d5",
2,2,"1","","P1:0/3d4|P2:2/3d5",
3,0,"1","2","P1:0/3d4|P2:3/3d5",
4,1,"","2","P1:1/3d4|P2:3/3d5",
5,1,"1","2","P1:2/3d4|P1:0/3d8|P2:3/3d5",P1:2/3d4
6,0,"1,2","2,1","P1:3/3d4|P1:0/3d8|P2:3/3d5|P2:0/3d10",
7,2,"1","2,1","P1:3/3d4|P1:0/3d8|P2:1/3d10|P2:3/3d5",
8,2,"1","2,1","P1:3/3d4|P1:0/3d8|P2:2/3d10|P2:3/3d5",
9,0,"1,1","2,1,2","P1:3/3d4|P1:0/3d12|P1:0/3d8|P2:3/3d10|P2:3/3d5",P1:0/3d8
10,1,"1","2,1,2","P1:1/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d10|P2:3/3d5",P1:0/3d8
11,1,"1,2","2,1,2","P1:2/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8
12,0,"1,2","2,1,2,1","P1:3/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8
13,1,"1,2","2,1,2,1","P1:1/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8
14,1,"1,2","2,1,2,1","P1:2/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8
15,0,"1,2","2,1,2,1,1","P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8
16,2,"1,2","2,1,2,1,1","P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d8|P2:1/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
17,2,"1,2,1","2,1,2,1,1","P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d20|P1:0/3d8|P2:2/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
18,0,"1,2,1","2,1,2,1,1,2","P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d20|P1:0/3d8|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
19,1,"1,2","2,1,2,1,1,2","P1:1/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
20,1,"1,2","2,1,2,1,1,2","P1:2/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d8|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
21,0,"1,2,1,2","2,1,2,1,1,2,1","P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d25|P2:0/3d15",P1:0/3d8,P2:0/3d15
22,2,"1,2,1","2,1,2,1,1,2,1","P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:1/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
23,2,"1,2,1","2,1,2,1,1,2,1","P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:2/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
24,0,"1,2,1","2,1,2,1,1,2,1,2","P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:3/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15
25,1,"1,2,1","2,1,2,1,1,2,1,2","P1:1/3d28|P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:3/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15,P1:0/3d24
26,1,"1,2,1,2","2,1,2,1,1,2,1,2","P1:2/3d28|P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:3/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d30|P2:0/3d15",P1:0/3d8,P2:0/3d15,P1:0/3d24
27,0,"1,2,1,2","2,1,2,1,1,2,1,2,1","P1:3/3d28|P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:3/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d30|P2:0/3d15",P1:0/3d8,P2:0/3d15,P1:0/3d24
28,2,"1,2,1","2,1,2,1,1,2,1,2,1","P1:3/3d28|P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d24|P1:0/3d8|P2:1/3d30|P2:3/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15,P1:0/3d24
29,2,"1,2,1,1","2,1,2,1,1,2,1,2,1","P1:3/3d28|P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d32|P1:0/3d24|P1:0/3d8|P2:2/3d30|P2:3/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15,P1:0/3d24
30,0,"1,2,1,1","2,1,2,1,1,2,1,2,1,2","P1:3/3d28|P1:3/3d20|P1:3/3d16|P1:3/3d12|P1:3/3d4|P1:0/3d32|P1:0/3d24|P1:0/3d8|P2:3/3d30|P2:3/3d25|P2:3/3d20|P2:3/3d10|P2:3/3d5|P2:0/3d15",P1:0/3d8,P2:0/3d15,P1:0/3d24
